"id","price","sqft","bed","bath","ac","cars","pool","built","quality","style","lot","highway","fitted.m3","fitted.m4","lot.discrete","resid.m5","fitted.m5","resid.m5b"
"1",360000,3032,4,4,"yes",2,"no",1972,"medium",1,22221,"no",12.8786661767248,12.7317223370972,"large",-0.021241379060212,12.8151006894925,-30704.7672201122
"2",340000,2058,4,2,"yes",2,"no",1976,"medium",1,22912,"no",12.3827047275742,12.4007353360211,"large",0.344751466177844,12.3919494304145,70168.3785734574
"3",250000,1780,4,3,"yes",2,"no",1980,"medium",1,21345,"no",12.2116267051658,12.2674593245021,"large",0.0735146962011975,12.3557015006432,7857.97363553965
"4",205500,1638,4,2,"yes",2,"no",1963,"medium",1,17342,"no",12.1191831843585,12.1734293037226,"large",0.122685244280261,12.1105160686382,28683.6174390083
"5",275500,2196,4,3,"yes",2,"no",1968,"medium",7,21786,"no",12.4627593125451,12.4516358234172,"large",0.0937637334341385,12.432579174141,3620.05119719936
"6",248000,1966,4,3,"yes",5,"yes",1972,"medium",1,18902,"no",12.3275403269164,12.3373990069003,"large",0.0693621406949757,12.3518218844521,4003.13776065226
"7",229900,2216,3,2,"yes",2,"no",1972,"medium",7,18639,"no",12.4740934121121,12.4405638886188,"large",-0.04447576249948,12.3898754732508,-42369.4435613214
"8",150000,1597,2,1,"yes",1,"no",1955,"medium",1,22112,"no",12.0918553811637,12.1827000936741,"large",-0.114930774957028,12.0333213480354,-13672.6447190074
"9",195000,1622,3,2,"yes",2,"no",1975,"low",1,14321,"no",12.1085526016424,12.0134226378669,"large",0.0298777950402763,12.1508770425056,4803.5250469408
"10",160000,1976,3,3,"no",1,"no",1918,"low",1,32358,"no",12.2048131036238,12.1913918797712,"large",-0.112081464143868,12.0950105583598,-769.416918201048
"11",190000,2812,7,5,"no",2,"yes",1966,"low",7,56639,"no",12.6519181773586,12.5682467698559,"huge",-0.744526643003985,12.8993059941466,-207072.628019205
"12",559000,2791,3,4,"yes",3,"no",1992,"high",1,30595,"no",12.7709315730427,13.1012004298942,"large",0.325273807275236,12.908630944862,143578.693445034
"13",535000,3381,5,4,"yes",3,"no",1988,"high",7,23172,"no",13.0172160096112,13.2166573441371,"large",0.138428046767555,13.0515939791106,65296.637725264
"14",525000,3459,5,4,"yes",2,"no",1978,"high",5,35351,"no",13.0453564660653,13.2837126678619,"huge",0.0869453399204112,13.0842082016533,45926.8811674428
"15",299900,2090,3,3,"yes",2,"no",1987,"medium",1,24025,"no",12.4015558007851,12.4200511573852,"large",0.078713693005285,12.5324906717318,-1558.18674894794
"16",527000,3232,5,5,"yes",2,"no",1984,"medium",6,21445,"no",12.9605918374146,12.7764958952797,"large",0.165450032980058,13.0095057945434,85051.2934142432
"17",169900,1502,2,2,"yes",2,"no",1956,"medium",1,28958,"no",12.027439056685,12.1672358881249,"large",-0.0565896672171558,12.0995549748772,746.965171481421
"18",335250,2747,3,4,"yes",2,"no",1993,"medium",7,22241,"no",12.7501986094928,12.6502897788806,"large",-0.124569713648665,12.8472015147926,-61707.6825075954
"19",323900,2890,4,3,"yes",2,"no",1954,"medium",7,41992,"no",12.8163800204649,12.7706179321315,"huge",-0.0127019277257738,12.7008920328852,-38818.3424588798
"20",200000,1825,3,3,"yes",2,"no",1957,"medium",1,30266,"no",12.2402084720906,12.3312093597699,"large",-0.0745951591666223,12.2806678046968,-17504.4105505271
"21",211000,1578,4,3,"yes",2,"no",1986,"medium",2,18829,"no",12.0790945885782,12.1534771249533,"large",-0.0410721501406297,12.3006855625988,-11666.999428797
"22",212000,1763,3,3,"yes",2,"no",1959,"medium",1,24726,"no",12.2007397541633,12.2774008174464,"large",0.0261845938086432,12.2381569598455,7785.07229159078
"23",245000,2517,4,3,"yes",2,"no",1965,"medium",1,23261,"no",12.6364767372661,12.5800726289225,"large",-0.131317738897449,12.5403312284243,-64848.1315680842
"24",140400,1872,3,2,"yes",2,"no",1985,"medium",3,24017,"no",12.2696938013538,12.3245504130314,"large",-0.537901977930615,12.3901527485045,-126133.852559392
"25",295000,3266,3,3,"yes",2,"no",1908,"medium",6,24881,"no",12.9738444146208,12.8023550146037,"large",0.13908364611492,12.455646989207,2008.66286232717
"26",170900,2020,1,2,"yes",1,"no",1956,"medium",1,21385,"no",12.3600934712491,12.3760295508909,"large",-0.189233183353654,12.2380670524573,-50277.2288385519
"27",229000,2164,4,2,"yes",2,"no",1965,"medium",1,28291,"no",12.4444836217115,12.4706375209855,"large",-0.0523664310388792,12.3938437135753,-41884.647876573
"28",218500,2080,3,2,"yes",2,"yes",1959,"medium",1,14752,"no",12.3956834996229,12.3562052968142,"large",0.0758308357823167,12.2187104577355,888.71931391549
"29",160000,2208,2,2,"yes",2,"no",1985,"medium",7,8058,"no",12.4695679144888,12.3348218783362,"large",-0.351293142349109,12.3342222365651,-98517.0756771001
"30",259000,3048,6,4,"yes",3,"no",1960,"medium",7,29307,"no",12.8854699238193,12.7697451564843,"large",-0.324056577941402,12.7886399186231,-122306.827759368
"31",164500,1460,3,2,"yes",2,"no",1978,"medium",1,9999,"no",11.9984722372803,12.0153023636432,"large",-0.0423059573531318,12.0529718065407,5662.08539158069
"32",280000,2540,3,2,"no",2,"no",1940,"medium",5,42428,"no",12.5194598251044,12.5740512587002,"huge",0.10745139546588,12.4350934866855,-7080.81307602598
"33",154000,2208,2,2,"yes",2,"no",1985,"medium",7,6746,"no",12.4695679144888,12.3130898039261,"large",-0.360582996815846,12.3052908782116,-96228.7727298313
"34",272000,2560,4,2,"yes",3,"no",1977,"medium",5,36100,"no",12.6584197772968,12.6486433535923,"huge",-0.140909848302731,12.6544671935809,-85183.1378234024
"35",180000,2061,4,2,"no",2,"no",1958,"medium",1,20138,"no",12.2556864927729,12.2987419220258,"large",-0.155330823856659,12.256042953729,-47670.3966077196
"36",157500,1980,3,2,"yes",2,"no",1957,"medium",1,32519,"no",12.3360275271894,12.4098950902197,"large",-0.331056393573737,12.2982371308216,-80144.9441673246
"37",242500,3308,5,4,"yes",2,"no",1928,"medium",5,47323,"no",12.9899445170226,12.8901991821476,"huge",-0.355988663738494,12.7547456530982,-129428.974761747
"38",182000,2616,5,3,"no",2,"no",1955,"low",5,11123,"no",12.5577336456265,12.3073795259066,"large",-0.279932887922798,12.3916948539817,-85793.3130980654
"39",178000,1460,4,2,"yes",2,"no",1961,"low",1,27095,"no",11.9984722372803,12.0085483391036,"large",-0.0161765418313434,12.1057153711056,7166.79979990474
"40",171900,1580,2,1,"no",1,"no",1951,"low",4,12417,"no",11.9516478118133,11.8874331129529,"large",0.147228756666786,11.9074394347042,45428.1808727702
